Hypothesis,Reference
"[ purpose ] this study investigated the effect of trunk stability exercise and a combined exercise program on pain , flexibility , and 
 static balance in chronic low back pain patients . 
 [ subjects and methods ] thirty patients with chronic low 
 back pain were randomly divided into a trunk 
 stability exercise group and a 
 combined exercise group for 6 weeks . [ results ] 
 the trunk stability 
 exercise group showed significant improvements in 
 pain and flexibility , while the combined exercise 
 program showed significant increases in static balance , 
 balance , and stability . [ conclusion ] the results of this study suggest that 
 both trunk stability and exercise therapy may be effective in reducing pain and stability of the spine .","[ purpose ] the aim of this study was to examine the effect of trunk stability exercise and 
 combined exercise program on pain , flexibility , and static balance in chronic low back 
 pain patients . [ subjects and methods ] thirty persons diagnosed with chronic low back pain 
 were divided into a trunk stability exercise group and a combined exercise group and then 
 conducted exercise for six weeks . 
 [ results ] vas and sway lengths decreased significantly 
 in both groups . a comparison of sway lengths after the intervention between the two groups 
 revealed that the trunk stability exercise group had a bigger decrease than the combined 
 exercise group . 
 [ conclusion ] the results of this study indicated that trunk stability 
 exercise would have bigger effect than combined exercise on the daily activities of 
 chronic low back pain patients as it strengthens deep abdominal muscles and improves 
 flexibility and balancing ability ."
"emphysematous pyelonephritis ( ep ) is a rare but life threatening necrotizing infection of the kidney caused by gas - forming bacteria . 
 we present a case of a 49-year - old male who presented to our hospital with complaints of generalized weakness and polydipsia for two weeks . during evaluation for diabetes 
 he was found to have gas within the parenchyma of the mildly enlarged right kidney and small radiopaque shadow ( calculus ) in the midpole of the left kidney . during the evaluation for diabetic nephropathy 
 , we did not consider any surgical intervention at first place since patient was stable , afebrile and asymptomatic . however , the absence of systemic symptoms in presence of class 2 emphysema was unclear .","emphysematous pyelonephritis ( ep ) is a rare , severe gas forming infection of renal parenchyma and its surrounding areas and potentially life threatening condition that requires prompt evaluation and treatment . 
 although it commonly present with a fulminant clinical picture of sepsis , relatively mild symptoms can also be encountered . to our knowledge , incidentally detected emphysematous pyelonephritis has not been reported so far . 
 we report a case of ep that was incidentally detected during evaluation for diabetes ."
"the inferior vena cava ( ivc ) filter is an established therapeutic option for the prevention of pulmonary embolism in individuals with deep venous thromboembolism , in whom conventional anticoagulation is contraindicated or deemed ineffective . 
 however , the major complications associated with ivc filters include intravascular and extravascular migration , filter and arterial thrombosis , recurrent pulmonary emboli and superior vena caval obstruction . here 
 we report a case of transvenous migration of an ivc filter to the right atrium , which lead to a very unusual scenario of acute cardiogenic shock .","dislocation and migration of the inferior vena cava filter to the right heart is an uncommon but serious complication , requiring prompt diagnosis and appropriate therapy . 
 we report the case of a seventy - year old man , who had previously undergone vena cava filter implantation and who was admitted to the intensive care unit due to acute respiratory distress with the suspect of pneumonia - related sepsis . due to the worsening of hemodynamics and the development of cardiogenic shock , the patient underwent bedside echocardiography , which on the contrary revealed dislocation of the filter and the entrapment of the device within the tricuspid valve and chordae tendineae . 
 this evidence was confirmed also by the chest - abdominal x - ray . 
 the patient underwent tricuspid valve surgical replacement and successfully recovered . 
 the transthoracic and transesophageal echocardiographies performed in the intensive care unit were able to first orient the diagnostic efforts toward the correct cause ."
"neuroleptic malignant syndrome ( nms ) is a rare but life - threatening side effect of antipsychotic medications . 
 it is suggested that the ability to create nms by neuroleptics is associated with their ability to block dopamine in the nigrostriatal pathway , mesocortical pathway , and hypothalamic nucleus . in this article 
 , we report a case of nms associated with olanzapine therapy in a young male patient .","neuroleptic malignant syndrome ( nms ) is a rare but life - threatening idiosyncratic side effect resulting from neuroleptic drugs . 
 nms mainly occurs in patients treated with high - potency typical antipsychotics , but rarely caused by atypical antipsychotics . 
 although nms is less common with atypical antipsychotic , but it seems that its incidence is rising due to increased administration of such drugs . 
 we present the case of a 27-year - old man with a history of paranoid schizophrenia that showed signs consistent with nms that occurred after treatment with olanzapine . 
 the patient was adherent to treatment . 
 he had decreased level of consciousness , muscle rigidity , diaphoresis , fever , drooling , urinary incontinence , and high blood pressure . 
 this patient illustrates that nms can occur due to treatment with atypical antipsychotic drugs like olanzapine , particularly in the presence of risk factors . 
 this phenomenon is often unrecognized , underdiagnosed , or not treated properly . 
 physicians should be aware that nms with extrapyramidal syndrome could occur with olanzapine at steady state doses without recent dosage adjustments or titration . 
 it is essential that adequate and safe dose of medication is chosen and the patient is monitored by the signs and symptoms of this lethal syndrome ."
"background : skin adnexal tumors are challenging to diagnose , with conventional cytologic criteria often not helpful . 
 the aim of this study was to evaluate the histologic features on silhouettes of benign and malignant melanomas.materials and methods : we performed a blinded , retrospective review of all melanomas reported between 1995 and 2007.results:of 68 cases , 53 were classified as benign and 15 as malignant based on the silhouette features.conclusion:the histologic diagnosis was as follows : benign : syringoma-15 , hidradenoma-8 , trichoblastoma-14 , mixed tumors-5 , others-11 cases and porocarcinoma-1 cases.conclusions:in such a situation , it suffices to answer two important questions i.e. , ( a ) is the lesion benign or malignant ?","background : skin adnexal tumors are daunting diagnostic problems . 
 cytologic atypia does not always imply malignancy and  typia  does not underscore a benign course . 
 bernard ackerman first described criteria on silhouettes that enable distinction between the two.aims:to evaluate the histologic features on silhouettes of benign and malignant skin adnexal tumors . to identify overlaps and confounding features.materials and methods : a blinded retrospective review of all skin adnexal neoplasms between 1995 and 2007 was done , with a total of 68 cases . 
 we studied 16 histologic parameters on scanner view and categorized them as benign or malignant . 
 they were compared with the final histologic diagnosis . 
 statistical analysis was performed using chi - square test.results:15 criteria attained statistical significance . 
 features that proved highly sensitive and specific were : circumscription , ulceration , uniform size of cell aggregates , discrete arrangement , preserved adnexae and necrosis . 
 criteria that were sensitive but not very specific include : symmetry , v - shape , vertical orientation , smooth margins , compressed fibrous tissue , type of clefting , shelling out and geometric shapes . 
 presence of epithelial cells in singles was not helpful.conclusion:malignant skin adnexal tumors are differentiated accurately from benign ones by their contrasting silhouettes . 
 pathologists should heed the impression formed on scanner view , before evaluating cytologic features ."
"objective : to determine psychosocial factors and risk factors for nssi and its association with depressive symptoms in forensic child and adolescent referrals.materials and methods : this cross - sectional study was conducted in the tr ministry of justice forensic science department , council of forensic medicine , ankara , turkey between may to october 2013.results:the subjects of this study were children , and adolescents aged 10 to 18 years who were referred for forensic examinations . 
 the study included 27 items designed to collect participant age , gender , educational status , family characteristics ( number of siblings , family income , and health status of parents ) , reason for forensic referral , history of physical , emotional , or sexual abuse , suicide attempts , history for substance use , and information regarding region , cause , and number of nsfi behaviors during the participant s life.conclusion:nssi was defined as deliberate , direct destruction or alteration of body tissue without intention of suicide , and included such behaviors as cutting , slashing , or burning body areas .","objective : to investigate risk factors for non - suicidal self - injury ( nssi ) , and present the relationship between nssi and depression in children and adolescents who appeared for forensic examination.methods:this study consisted of 295 children and adolescents who were brought for judicial examination in the tr ministry of justice forensic science department , council of forensic medicine , ankara , turkey between may and october 2013 . 
 sociodemographic factors , alcohol and substance abuse , and history of sexual abuse and suicide attempts were assessed using a semi - structured questionnaire . during forensic medical examinations , 
 nssi was evaluated . 
 depression was assessed using the beck depression inventory.results:the frequency of nssi was 20.2% among boys , and 30.6% among girls . 
 statistical differences were found between subjects with and without nssi in terms of number of children in their families , whether or not their parents were divorced , whether they held part - time jobs , or had a history of sexual abuse , substance abuse , or suicide attempts , and the number of criminal involvements . those with nssi had higher depressive scores than others ( p<0.001).conclusion : children and adolescents with nssi have wide - ranging problems in their lives . in a forensic adolescent population , depressive symptoms are more common in individuals with nssi behaviors , and 
 the specific characteristics of these behaviors need further investigation ."
"alzheimer 's disease ( ad ) is the most common type of dementia , and accounts for an estimated 60 to 80% of cases . 
 loss of cholinergic neurons is a pathological hallmark of ad , and is also assessed in human imaging studies . in the pathophysiology of ad 
 , nachr - expressing neurons are down - regulated in the brains of ad patients , especially in affected brain areas , and appears to be correlated with the severity of cognitive impairment and the amount of amyloid deposition . in this review 
 we discuss the use of the nicotinic acetylcholine receptor ligand for the treatment of ad .","the cholinergic system is involved in a broad spectrum of brain function , and its failure has been implicated in alzheimer 's disease . acetylcholine transduces signals through muscarinic and nicotinic acetylcholine receptors , both of which influence synaptic plasticity and cognition . 
 however , the mechanisms that relate the rapid gating of nicotinic acetylcholine receptors to persistent changes in brain function have remained elusive . 
 recent evidence indicates that nicotinic acetylcholine receptors activities affect synaptic morphology and density , which result in persistent rearrangements of neural connectivity . 
 further investigations of the relationships between nicotinic acetylcholine receptors and rearrangements of neural circuitry in the central nervous system may help understand the pathogenesis of alzheimer 's disease ."
"sebaceous carcinoma ( sc ) in the parotid gland is a rare neoplasm . 
 only 24 cases have been reported in the english literature . in this article 
 , we report a case of sc in a patient who presented with a left infra - auricular painless mass , which was suspected to be a myoepithelial tumor after fine needle aspiration ( fna ) biopsy at another hospital . in may 2009 , we resected a tumor of the left salivary gland .","backgroundprimary sebaceous carcinoma of the parotid gland is extremely rare , and because of its rarity , clinicopathological characteristics and histogenesis are not fully understood.methodshere , we report a patient who presented with a left infra - auricular painless mass . 
 we present the histological features and discuss possible optimal treatments based on previous literature.resultsthe mass was suspected to be a myoepithelial tumor or possibly a pleomorphic adenoma . 
 initially , the mass was resected with preservation of the facial nerve , but this caused facial palsy . because the histological examination showed a sebaceous carcinoma and a part of the mass could be remaining on the facial nerve , additional surgery was performed , and the facial nerve was reconstructed with cervical nerve . 
 follow - up after 7 months showed no sign of recurrence of metastasis.conclusionwe encountered a rare sebaceous carcinoma of the parotid gland . 
 additional surgery was performed because preoperative diagnosis was difficult ."
"objective : to compare the stereoacuity of patients before and 6 months after kamra corneal inlay implantation for correction of presbyopia.materials and methods : this study was performed at our institution between october 2009 and june 2010 . 
 patients were examined preoperatively and 6 month postoperatively for uncorrected distance visual acuity ( udva ) , and unva ( j7 ) . at 6 months 
 
 follow - up , the mean preoperative and postoperative levels were 29.528.1 ( range : 20200 ) and 29.826.4 arcsec , respectively.results:twenty - six ( 60% ) patients had no change in stereacuity , 9 ( 15% ) had improved stereoacuities , and 15 ( 25% ) of patients had worsened stereoacuum ( range: 5 to 50 ) . for unknown reasons , 
 only one patient had a stereo acuity of 200 arcsec before implantation.conclusion:this study suggests that patients who underwent keratomileusis may be at risk for hearing loss following the use of kamras inlay .","purposethe aim of this study was to compare stereoacuity before and after kamra corneal inlay implantation for the correction of presbyopia.patients and methodsthis is a prospective study of 60 patients who underwent kamra inlay implantation . 
 patients were examined before and 6 months after surgery for stereoacuity , uncorrected distance visual acuity ( udva ) , and uncorrected near visual acuity ( unva).resultsthe mean stereoacuity before surgery was 29.528.1 arcsec ( range : 20200 ) and at 6 months was 29.826.4 arcsec ( range : 20200 ) . 
 the decline in stereoacuity was not statistically significant . at 6 months follow - up , udva was 20/25 or better in all 60 patients and unva was j2 ( 20/25 ) or better in 51 ( 85% ) patients.conclusionthere is no significant change in stereoacuity following kamra inlay implantation . 
 the kamra inlay is a good treatment option for improving near vision in presbyopic patients while preserving stereoacuity and distance vision ."
"background : osteoporosis is a systemic disease of the bone that affects millions of people and causes burdens for both the affected individual and health systems and societies worldwide . 
 the aim of this study was to determine the citation density ( number of citations / years since publication ) of articles cited most frequently by other authors and to establish a ranking of the fifty most cited papers in the field by using the thomson isi web of science database.materials and methods : a total of 184 articles were cited in this study , of which 184 were published in the basic , clinical , and translational categories . to evaluate the relative impact of a published paper , 
 citations were analyzed and in case of a clinical study a level of evidence was attributed to the paper based on the guidelines for clinical articles by oxford centre for evidence - based medicine 2011 levels of evidence were used.results:the most cited article was the most cited one ( p < 0.001 ) . in cases with an identical absolute number of citation , the papers that had a higher citation density were the papers with the highest citations ( p = 0.002).conclusion:the highest citation density of published scientific work is attributed to basic and clinical research . ","osteoporosis is a systemic disease of the bone that affects millions of people and causes burden for both the affected individual and health systems and societies worldwide . since the 1970s much research has been done in the field of osteoporosis . 
 the number of citations of a paper reflects its influence and importance to the field . 
 thomson isi web of science database was searched to retrieve a list of the fifty most cited articles related to osteoporosis and its research . 
 the fifty most cited articles in absolute numbers in the field of osteoporosis were cited from 877 to 3056 times ( mean 1141  537 ) . 
 most papers were published in the basic science category ( n = 23 ) . 
 395 authors contributed ; a single paper had between one and 62 authors ( mean : 10.02  9.9 authors ) . 
 12 authors ( 3.04% ) contributed between 7 and 4 papers ; 340 authors ( 86.1% ) were at least named once . 
 corresponding authors were from eight countries with most contributions from the united states ( n = 34 , 68% ) . 
 the majority of papers were published in the 1990s ( n = 29 ) . 
 the list of 50 most cited papers presents citation classics in the field of osteoporosis and related research ."
